# mc delta_mc R14 log_alpha_dyn log_f_disk theta s1z s2z sigma_sys md vd mw vw lnL lnp lnps weights
1.186433296467650056e+00 4.967074093979315652e-01 1.262951069626511114e+01 -7.970985090647634275e-01 -1.219060897307844726e+00 5.706316037895842186e+00 4.717956712694219845e-02 1.041133938184345652e-02 7.438454016197375118e+00 2.152077644684933025e-02 1.436426520191149692e-01 2.634455581652533213e-02 1.436426520191149692e-01 -1.191390991210937500e+00 -2.753052886449979919e+00 1.420943642874459911e+01 5.576555456012791351e-05
1.186961130432769185e+00 2.907749720098760093e-01 1.549285818555262395e+01 -2.949514223825353554e-01 -1.305661305304229636e+00 5.384061573837060521e+00 4.955520715163829609e-02 1.980632304508270908e-02 2.418298614557051085e+00 1.926051743185342238e-02 1.439560641559348708e-01 2.589096995463324724e-02 1.439560641559348708e-01 -1.114456176757812500e+00 -3.172904785506325265e+00 1.420943642874459911e+01 3.957664978229200720e-05
1.186005918123850700e+00 3.168033416224423915e-01 1.544470512041680266e+01 -4.272374885958626356e-01 -1.306005416626630611e+00 5.622870616173330838e+00 2.883012073940152339e-02 2.628001805609224070e-02 1.273907761843403286e+01 1.749719561414201513e-02 1.354841274285220054e-01 2.643516772867966075e-02 1.354841274285220054e-01 -8.872222900390625000e-01 -3.014322750146639418e+00 1.420943642874459911e+01 5.820988667570741636e-05
1.186788855697137102e+00 3.978596885825829155e-01 1.370729776836486380e+01 -6.139752557534040589e-01 -1.246798333120448854e+00 5.602782803519180455e+00 3.418621955016106634e-02 6.747837747772212659e-03 5.585173794767858801e+00 1.992871341572301572e-02 1.397676013282378449e-01 2.597871043271243741e-02 1.397676013282378449e-01 -4.152374267578125000e-01 -2.945354607102427469e+00 1.420943642874459911e+01 9.998380479164865517e-05
1.186323182699468237e+00 3.460907405252339752e-01 1.412300888525355624e+01 -4.737213928067865454e-01 -1.234714845068468403e+00 5.586411810778515452e+00 5.018428224165775477e-03 8.172372928420481783e-03 2.724252037136399851e-01 2.012158957211453505e-02 1.481750742510627994e-01 2.672610804790869279e-02 1.481750742510627994e-01 -7.010345458984375000e-01 -3.008868861127249161e+00 1.420943642874459911e+01 7.050593196481798461e-05
1.186161928462452053e+00 2.564874587071470646e-01 1.628204894718381013e+01 -7.672457461674864199e-02 -1.317936628528735277e+00 5.721986384670930903e+00 3.753331435322521809e-02 2.592041657549246092e-02 1.055491109678487582e+01 2.076560329791637266e-02 1.446019536194546040e-01 2.686929860002679193e-02 1.446019536194546040e-01 -1.073501586914062500e+00 -3.002646754418487607e+00 1.420943642874459911e+01 4.888408646320453114e-05
1.186244877545008070e+00 2.204983728145109012e-01 1.671976577157259669e+01 1.534155591527948947e-01 -1.321493740427155839e+00 5.567426179884169990e+00 3.473191276123820809e-02 7.803016103485074968e-03 4.940900248353389479e+00 1.939265741694578063e-02 1.502198770081043522e-01 2.709436165783107170e-02 1.502198770081043522e-01 -1.727279663085937500e+00 -3.113177099418893867e+00 1.420943642874459911e+01 2.276316119400271099e-05
1.185988370754803789e+00 5.382469501322151295e-01 1.231831938306135577e+01 -9.340190439587953142e-01 -1.193688942666510711e+00 5.096552520388131668e+00 2.906354572968676900e-02 2.693270733144631588e-03 2.821852987202916108e+00 1.910654890116824517e-02 1.509940953147259624e-01 2.790060079346217206e-02 1.509940953147259624e-01 -4.258132934570312500e+00 -3.038976064459999016e+00 1.420943642874459911e+01 1.951291099165421155e-06
1.186207901356182148e+00 2.036252398783294504e-01 1.715928077238886118e+01 4.327440595391319200e-01 -1.333848067841082896e+00 5.533704494941695806e+00 1.064455184782761403e-02 3.079415306396321439e-02 1.576203681041257187e+00 2.036590734254608778e-02 1.502766216151958378e-01 2.727590818388329896e-02 1.502766216151958378e-01 -1.845062255859375000e+00 -3.141691275815544859e+00 1.420943642874459911e+01 1.966512422597650964e-05
1.185515451241762497e+00 2.702599382878336787e-01 1.584797638255983188e+01 -1.715413376573549087e-01 -1.303954789905583667e+00 5.919614527731192233e+00 5.840643577478596589e-03 4.103172771292835919e-02 6.137632623618614502e+00 2.048984141057460379e-02 1.455393526941836102e-01 2.666873823529230733e-02 1.455393526941836102e-01 -2.108840942382812500e+00 -2.881748622836618701e+00 1.420943642874459911e+01 1.958983265261640314e-05
1.185591469262588404e+00 3.005126757203042676e-01 1.569213005450573739e+01 -3.188504475688770379e-01 -1.315099875093709514e+00 5.595351077849112009e+00 2.824637566632386826e-02 8.239225057906654492e-03 1.189794043661657241e+01 1.938083997047721288e-02 1.375781686621944111e-01 2.628572060972690638e-02 1.375781686621944111e-01 -2.067413330078125000e-01 -3.043853148124012087e+00 1.420943642874459911e+01 1.116094555509747045e-04
1.187122400916646781e+00 2.571777191757709247e-01 1.608859441568517568e+01 -1.041545496777493973e-01 -1.314997684896152652e+00 5.454987905462011177e+00 3.443374267524512700e-02 2.295379858407610094e-02 1.298598971160581428e+01 2.036560101521842428e-02 1.468658238377393843e-01 2.640480626930218414e-02 1.468658238377393843e-01 -6.290588378906250000e-01 -3.155295908341680278e+00 1.420943642874459911e+01 6.544731765615588101e-05
1.186635622306704496e+00 2.901251539032697058e-01 1.585341082943941871e+01 -2.840508904940823864e-01 -1.308334543689425589e+00 5.564715613408506734e+00 1.818886187739483101e-02 1.518336988936668658e-02 7.116408940894777047e+00 1.898708313544974352e-02 1.391361985506325283e-01 2.693764328127606217e-02 1.391361985506325283e-01 -8.776855468750000000e-02 -3.068709354238870812e+00 1.420943642874459911e+01 1.226239488430501184e-04
1.185711123276383283e+00 3.086349643890197170e-01 1.539695927646515017e+01 -3.679569991827027486e-01 -1.304002355216295372e+00 4.764829923771610964e+00 4.251108299679761532e-02 2.027748261643344801e-03 9.484544937740995607e+00 1.888257061821436988e-02 1.390467341831705950e-01 2.618430074891774095e-02 1.390467341831705950e-01 -4.830169677734375000e+00 -3.529537738149270076e+00 1.420943642874459911e+01 6.742817954991442072e-07
1.185802629733207603e+00 4.099988514564699149e-01 1.364222772120353966e+01 -6.562146985620103123e-01 -1.242712753635050849e+00 5.631201136186733791e+00 2.604054745722807207e-02 2.695502280628425673e-02 8.129600742124715174e-01 1.935670797178254410e-02 1.368992229688016371e-01 2.636521864065366136e-02 1.368992229688016371e-01 -3.349609375000000000e-01 -2.915773040250579928e+00 1.420943642874459911e+01 1.115938874951747902e-04
